ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
ART014,Turkey,0.37,0.07,0.07,0.02,0.00,0.03,0.41,0.02,5255.5
ART015,Turkey,0.35,0.09,0.07,0.01,0.00,0.02,0.43,0.03,5189.5
ART017,Turkey,0.38,0.10,0.09,0.00,0.00,0.04,0.38,0.02,5177
ART018,Turkey,0.28,0.13,0.12,0.01,0.01,0.02,0.40,0.03,5256.5
ART019,Turkey,0.38,0.11,0.11,0.00,0.00,0.04,0.33,0.03,5377
ART020,Turkey,0.32,0.08,0.09,0.01,0.02,0.03,0.42,0.03,5183.5
ART027,Turkey,0.34,0.13,0.10,0.01,0.00,0.02,0.36,0.04,5186.5
ART022,Turkey,0.38,0.08,0.06,0.01,0.01,0.03,0.42,0.01,5339.5
ART023,Turkey,0.36,0.05,0.13,0.00,0.02,0.02,0.40,0.02,5251.5
ART024,Turkey,0.38,0.07,0.10,0.01,0.01,0.02,0.38,0.03,5374.5
ART026,Turkey,0.34,0.11,0.09,0.01,0.01,0.02,0.39,0.03,5168
ART032,Turkey,0.31,0.08,0.11,0.00,0.02,0.02,0.44,0.02,5254
ART038,Turkey,0.34,0.03,0.09,0.00,0.02,0.02,0.47,0.02,5183
ART039,Turkey,0.30,0.04,0.11,0.02,0.03,0.01,0.46,0.02,5654
ART042,Turkey,0.33,0.06,0.08,0.01,0.01,0.03,0.46,0.03,5774.5
CBT001,Turkey,0.36,0.04,0.07,0.01,0.02,0.02,0.47,0.03,5455
CBT002,Turkey,0.37,0.08,0.07,0.01,0.01,0.02,0.41,0.02,5538
CBT004,Turkey,0.34,0.06,0.07,0.01,0.01,0.02,0.45,0.04,5528
CBT005,Turkey,0.34,0.07,0.07,0.00,0.00,0.02,0.48,0.02,5452.5
CBT013,Turkey,0.36,0.06,0.07,0.00,0.03,0.01,0.44,0.03,5534
CBT014,Turkey,0.34,0.07,0.05,0.00,0.00,0.02,0.48,0.03,5462
CBT015,Turkey,0.34,0.07,0.08,0.00,0.00,0.03,0.44,0.03,5532
CBT016,Turkey,0.37,0.08,0.03,0.01,0.01,0.02,0.44,0.04,5559.5
CBT018,Turkey,0.40,0.09,0.03,0.00,0.00,0.03,0.43,0.01,7519.5
ETM012,Syria,0.35,0.07,0.10,0.00,0.01,0.04,0.41,0.03,4522
ETM016,Syria,0.36,0.12,0.07,0.00,0.01,0.03,0.36,0.04,3911
ETM018,Syria,0.30,0.00,0.10,0.00,0.02,0.07,0.50,0.02,3999.5
IKI002,Turkey,0.32,0.08,0.11,0.04,0.00,0.01,0.43,0.02,5166.5
IKI009,Turkey,0.37,0.15,0.08,0.00,0.00,0.03,0.33,0.04,5190.5
IKI012,Turkey,0.35,0.10,0.09,0.01,0.00,0.02,0.38,0.04,5193
IKI016,Turkey,0.39,0.14,0.06,0.00,0.00,0.02,0.36,0.03,5394.5
IKI017,Turkey,0.36,0.05,0.11,0.00,0.05,0.03,0.40,0.00,5259
IKI024,Turkey,0.46,0.13,0.05,0.00,0.00,0.01,0.35,0.01,5828.5
IKI030,Turkey,0.39,0.13,0.00,0.00,0.03,0.03,0.41,0.00,5384.5
IKI034,Turkey,0.35,0.13,0.05,0.01,0.00,0.02,0.41,0.03,5376
IKI036,Turkey,0.36,0.13,0.01,0.00,0.02,0.04,0.40,0.05,5450.5
IKI037,Turkey,0.38,0.06,0.09,0.01,0.00,0.01,0.43,0.02,5458.5
IKI038,Turkey,0.39,0.15,0.00,0.00,0.05,0.02,0.39,0.01,5457
KRD001,Turkey,0.50,0.02,0.00,0.00,0.01,0.02,0.42,0.02,7630
KRD002,Turkey,0.44,0.09,0.01,0.00,0.00,0.04,0.40,0.01,6877
KRD003,Turkey,0.51,0.03,0.00,0.01,0.01,0.03,0.39,0.01,7614
KRD004,Turkey,0.44,0.04,0.02,0.03,0.00,0.04,0.39,0.02,7623
KRD005,Turkey,0.46,0.04,0.00,0.02,0.00,0.02,0.42,0.03,7660
MTT001,Azerbaijan,0.36,0.11,0.09,0.01,0.02,0.02,0.36,0.03,7636.5
POT002,Azerbaijan,0.31,0.11,0.19,0.00,0.02,0.03,0.32,0.02,7390.5
TIT021,Turkey,0.37,0.04,0.15,0.00,0.00,0.04,0.38,0.03,4186
CBT003,Turkey,0.38,0.10,0.03,0.00,0.00,0.03,0.42,0.04,5450
CBT010,Turkey,0.36,0.08,0.06,0.00,0.00,0.03,0.45,0.02,5480
CBT011,Turkey,0.34,0.07,0.06,0.00,0.02,0.02,0.46,0.03,5480
CBT017,Turkey,0.36,0.03,0.05,0.00,0.01,0.02,0.50,0.03,5480
ETM001,Syria,0.32,0.12,0.10,0.01,0.00,0.02,0.39,0.04,3950
ETM003,Syria,0.08,0.00,0.02,0.10,0.54,0.00,0.00,0.26,2817.5
ETM004,Syria,0.38,0.06,0.14,0.03,0.00,0.02,0.31,0.05,3850
ETM005,Syria,0.34,0.12,0.11,0.01,0.00,0.04,0.35,0.03,3850
ETM006,Syria,0.38,0.09,0.11,0.01,0.03,0.03,0.33,0.02,3850
ETM010,Syria,0.33,0.09,0.10,0.01,0.03,0.07,0.34,0.03,4550
ETM014,Syria,0.34,0.08,0.09,0.01,0.01,0.03,0.41,0.04,3850
ETM015,Syria,0.31,0.00,0.16,0.00,0.04,0.00,0.47,0.02,3850
ETM017,Syria,0.10,0.00,0.00,0.00,0.00,0.00,0.54,0.36,3850
ETM021,Syria,0.00,0.00,0.27,0.01,0.16,0.22,0.30,0.03,3800
ETM023,Syria,0.30,0.07,0.14,0.02,0.02,0.04,0.39,0.02,4275
ETM025,Syria,0.00,0.00,0.00,0.32,0.31,0.26,0.00,0.11,3800
ETM026,Syria,0.36,0.07,0.09,0.01,0.03,0.03,0.36,0.03,3850
IKI006,Turkey,0.37,0.05,0.13,0.00,0.00,0.00,0.38,0.06,5250
IKI019,Turkey,0.34,0.06,0.02,0.00,0.00,0.00,0.48,0.09,5250
IKI020,Turkey,0.33,0.00,0.13,0.00,0.01,0.05,0.48,0.00,5250
IKI032,Turkey,0.46,0.00,0.00,0.15,0.00,0.00,0.30,0.08,5250
KRD006,Turkey,0.44,0.03,0.02,0.00,0.00,0.03,0.46,0.03,7550
TIT003,Turkey,0.31,0.00,0.00,0.00,0.12,0.00,0.53,0.03,4250
TIT012,Turkey,0.34,0.05,0.00,0.00,0.01,0.05,0.50,0.05,4250
TIT014,Turkey,0.46,0.16,0.00,0.00,0.00,0.00,0.38,0.00,4250
TIT015,Turkey,0.38,0.00,0.00,0.17,0.00,0.00,0.40,0.05,4250
TIT019,Turkey,0.42,0.37,0.00,0.01,0.00,0.02,0.10,0.08,4250
TIT025,Turkey,0.43,0.05,0.03,0.00,0.00,0.00,0.48,0.01,4250
