ID,Country,AncientComponent1,AncientComponent2,AncientComponent3,AncientComponent4,AncientComponent5,ModernComponent1,ModernComponent2,ModernComponent3,DateBP
I5771,Serbia,0.077,0.055,0,0.529,0,0.011,0.329,0,8325
I4881,Serbia,0.039,0.052,0.006,0.515,0.028,0.017,0.34,0.004,8363
I0061,Russia,0,0.444,0.001,0.363,0.187,0,0,0.004,8375
I4871,Serbia,0.064,0.07,0.006,0.498,0,0.008,0.347,0.008,8450
I4872,Serbia,0.057,0.066,0,0.516,0.02,0.004,0.325,0.013,8450
I5772,Serbia,0.076,0.065,0,0.495,0.037,0.011,0.309,0.006,8450
I4876,Serbia,0.076,0.071,0.004,0.521,0.014,0.014,0.289,0.012,8455
I4875,Serbia,0.043,0.08,0.002,0.534,0.016,0.015,0.307,0.003,8458
I4550,Latvia,0.038,0.078,0.006,0.54,0.014,0.018,0.299,0.007,8489
I4877,Serbia,0.041,0.05,0.009,0.514,0.02,0.017,0.34,0.008,8505
Tep003,Turkey,0.367,0.025,0,0.004,0.013,0.056,0.515,0.02,8505
I4874,Serbia,0.05,0.046,0,0.522,0.028,0.014,0.331,0.009,8506
Tep002,Turkey,0.377,0.028,0,0.012,0.007,0.069,0.505,0.001,8585
I5411,Romania,0.062,0.107,0,0.461,0.009,0.012,0.336,0.012,8600
I4582,Romania,0.05,0.114,0.001,0.477,0,0.014,0.337,0.007,8697
I1699,Jordan,1,0,0,0,0,0,0,0,8700
OC1,Romania,0.04,0.073,0,0.423,0.002,0.009,0.447,0.005,8704
I4870,Serbia,0.052,0.074,0,0.517,0.008,0.011,0.328,0.01,8740
I4916,Serbia,0.053,0.083,0.006,0.487,0.018,0.016,0.327,0.01,8763
I1679,Jordan,0.871,0,0.129,0,0,0,0,0,8800
SC1,Romania,0.023,0.111,0,0.492,0,0,0.364,0.01,8814
I5876,Ukraine,0.056,0.235,0.005,0.413,0.003,0.011,0.264,0.014,8822
I5401,Serbia,0.054,0.061,0,0.492,0.03,0.017,0.336,0.01,8838
sf11,Sweden,0,0,0,1,0,0,0,0,8892
sf12,Sweden,0.004,0.143,0,0.495,0.004,0.002,0.339,0.014,8895
I4607,Romania,0.062,0.094,0,0.486,0.018,0.017,0.323,0,8940
I0867,Israel,0.994,0,0,0.005,0,0.001,0,0,8975
I5436,Romania,0.058,0.104,0.003,0.464,0.002,0.018,0.342,0.01,9025
I1875,Croatia,0.055,0.055,0,0.535,0.008,0.023,0.323,0,9118
Chan,Spain,0.02,0,0.016,0.421,0.016,0.028,0.399,0.1,9131
Falkenstein,Germany,0.039,0.044,0,0.562,0.017,0.072,0.256,0.011,9200
I1704,Jordan,1,0,0,0,0,0,0,0,9202
I1734,Ukraine,0.071,0.252,0.009,0.409,0.006,0.012,0.226,0.015,9202
WC1,Iran,0.086,0.162,0.269,0.008,0.015,0.086,0.278,0.095,9219
I4630,Latvia,0.032,0.222,0.002,0.442,0,0.015,0.266,0.021,9222
I4081,Romania,0.075,0.108,0,0.501,0.013,0.021,0.267,0.015,9335
H26,Norway,0,0.221,0,0.385,0.009,0,0.355,0.031,9364
I1710,Jordan,0.958,0,0,0,0,0,0.042,0,9580
I1707,Jordan,0.96,0.016,0,0,0.006,0,0.018,0,9582
I1701,Jordan,0.349,0,0.651,0,0,0,0,0,9610
KK1,Georgia,0.006,0.289,0.495,0.006,0.002,0.038,0.149,0.015,9712
I1944,Iran,0,0,1,0,0,0,0,0,9800
I1945,Iran,0,0,1,0,0,0,0,0,9800
I1949,Iran,0,0,1,0,0,0,0,0,9800
I5234,Serbia,0.061,0.072,0.003,0.523,0.011,0.018,0.307,0.006,9800
I5237,Serbia,0.075,0.067,0,0.495,0.017,0.018,0.327,0,9800
I5407,Serbia,0.035,0.047,0.002,0.507,0.024,0.014,0.36,0.011,9800
I5409,Serbia,0.067,0.086,0.001,0.485,0.006,0.021,0.331,0.004,9800
I1290,Iran,0,0,1,0,0,0,0,0,9846
I1415,Jordan,0.559,0,0.115,0.099,0.02,0.016,0.191,0,9875
I1951,Iran,0,0.183,0.817,0,0,0,0,0,9892
AH4,Iran,0.068,0.196,0.272,0.013,0.016,0.076,0.258,0.101,9930
AH2,Iran,0.064,0.182,0.304,0.012,0.021,0.091,0.237,0.09,9931
I5238,Serbia,0.06,0.1,0,0.471,0.013,0.017,0.331,0.008,9993
I5236,Serbia,0.07,0.065,0.003,0.499,0.014,0.024,0.318,0.006,10008
I1414,Jordan,0.423,0,0.577,0,0,0,0,0,10050
I1416,Jordan,0.526,0,0,0,0.116,0.039,0.3,0.019,10050
I1700,Jordan,0.971,0,0,0,0,0,0,0.029,10050
I1709,Jordan,1,0,0,0,0,0,0,0,10050
I1727,Jordan,0.978,0,0.022,0,0,0,0,0,10050
I1763,Ukraine,0.071,0.344,0.005,0.369,0,0.014,0.176,0.022,10074
Bon002,Turkey,0.353,0.031,0,0.018,0.011,0.055,0.512,0.02,10078
